id;sku;Product name;Manage stock;Stock status;Backorders;Stock;Price;Type;Parent ID
10857;coat-i6p.red;red ;yes;instock;no;7;399;product-variant;6420
10856;coat-i6p.black;black ;yes;instock;no;13;399;product-variant;6420
9874;coat-i6p.gold;gold ;yes;instock;no;8;399;product-variant;6420
6421;coat-i6p.blue;blue ;yes;instock;no;18;399;product-variant;6420
6422;;Чехол Ammo-i6P;yes;instock;no;;;variable;
10852;ammo-i6p.blue;blue ;yes;instock;no;3;399;product-variant;6422
9855;ammo-i6P.maroon;MAROON ;yes;instock;no;4;399;product-variant;6422
6423;ammo-i6P.black;black ;yes;instock;no;3;399;product-variant;6422
6424;;Чехол Superior-i6;yes;instock;no;;;variable;
10291;superior-i6.black;black ;yes;instock;no;15;699;product-variant;6424
6425;;Чехол Diver-i6;yes;instock;no;;;variable;
10177;diver-i6.black;black ;yes;instock;no;31;699;product-variant;6425
6426;bamby-air2.pink;Чехол Bamby Air2;yes;instock;no;4;699;variable;
8651;bamby-air2.orange;orange ;yes;instock;no;8;699;product-variant;6426
8628;bamby-air2.black;black ;yes;instock;no;5;699;product-variant;6426
8627;bamby-air2.blue;blue ;yes;instock;no;0;0;product-variant;6426
8626;bamby-air2.pink;pink ;yes;instock;no;4;699;product-variant;6426
8625;bamby-air2.purple;purple ;yes;instock;no;8;699;product-variant;6426
6427;;Чехол Bamby-Mini3;yes;instock;no;;;variable;
8561;bamby-mini3.orange;orange ;yes;instock;no;3;599;product-variant;6427
6429;bamby-mini3.blue;blue ;yes;instock;no;10;599;product-variant;6427
6430;bamby-mini3.pink;pink ;yes;instock;no;10;599;product-variant;6427
6428;bamby-mini3.Black;black ;yes;instock;no;6;599;product-variant;6427
6401;;Чехол Carbon-i7;yes;instock;no;;;variable;
9929;carbon-i7.black;black ;yes;instock;no;79;499;product-variant;6401
6402;;Чехол  Steel-i7;yes;instock;no;;;variable;
9910;steel-i7.black;black ;yes;instock;no;30;499;product-variant;6402
