id,sku,Product name,Manage stock,Stock status,Backorders,Stock,Type,Parent ID
7068,azzure-l.blue,blue ,yes,instock,no,25,product-variant,6334
6335,bizpak-bp.black,Рюкзак для ноутбука bizPak-BP,yes,instock,no,20,variable,
6846,bizpak-bp.black,black ,yes,instock,no,20,product-variant,6335
6336,commute-bp.black,Рюкзак для ноутбука Commute-BP,yes,instock,no,14,variable,
6736,commute-bp.black,black ,yes,instock,no,14,product-variant,6336
6337,desire-ld.black,Сумка для ноутбука Desire-LD,yes,instock,no,30,variable,
7045,desire-ld.black,black ,yes,instock,no,30,product-variant,6337
6338,desire-ld.blue,blue ,yes,instock,no,3,product-variant,6337
6339,desire-ld.purple,purple ,yes,instock,no,7,product-variant,6337
6340,doric.black,Рюкзак для ноутбука Doric,yes,instock,no,27,variable,
6753,doric.black,black ,yes,instock,no,27,product-variant,6340
6341,drake.black,Рюкзак для ноутбука Drake,yes,instock,no,21,variable,
6770,drake.blue,blue ,yes,instock,no,14,product-variant,6341
6342,drake.black,black ,yes,instock,no,21,product-variant,6341
6343,lucent-bp.grey,Рюкзак для ноутбука Lucent-BP,yes,instock,no,14,variable,
6700,lucent-bp.grey,grey ,yes,instock,no,14,product-variant,6343
6344,lucent-mb.grey,Сумка для ноутбука Lucent-MB,yes,instock,no,20,variable,
6982,lucent-mb.grey,grey ,yes,instock,no,20,product-variant,6344
6345,trolleypak-1.black,Рюкзак для ноутбука trolleyPak-1,yes,instock,no,15,variable,
6858,trolleypak-1.black,black ,yes,instock,no,15,product-variant,6345
6346,urbaner-bp.blue,Рюкзак для ноутбука Urbaner-BP,yes,instock,no,1,variable,
6811,urbaner-bp.blue,blue ,yes,instock,no,1,product-variant,6346
6347,lucent-sb.grey,Cумка для планшета Lucent-SB,yes,instock,no,42,variable,
6976,lucent-sb.grey,grey ,yes,instock,no,42,product-variant,6347
6348,tabsling.black,Cумка для планшета tabSling,yes,instock,no,21,variable,
6969,tabsling.black,black ,yes,instock,no,21,product-variant,6348
6349,tabsling.red,red ,yes,instock,no,7,product-variant,6348
6350,tabsling.brown,brown ,yes,instock,no,9,product-variant,6348
6309,quire.black,Сумка для ноутбука/планшета Quire,yes,instock,no,74,variable,
7535,quire.black,black ,yes,instock,no,74,product-variant,6309
6310,quire.brown,brown ,yes,instock,no,76,product-variant,6309
6311,quire.maroon,MAROON ,yes,instock,no,33,product-variant,6309
6312,desire-l.brown,Сумка для ноутбука Desire-L,yes,instock,no,11,variable,
7501,desire-l.brown,brown ,yes,instock,no,11,product-variant,6312
6313,desire-l.blue,blue ,yes,instock,no,10,product-variant,6312
6314,desire-l.red,red ,yes,instock,no,11,product-variant,6312
6315,desire-l.black,black ,yes,instock,no,20,product-variant,6312
6316,dapp-hb.red,Сумка для ноутбука Dapp-HB,yes,instock,no,1,variable,
7453,dapp-hb.red,Blue/Red ,yes,instock,no,1,product-variant,6316
6317,charlette.black,Сумка для ноутбука Charlette,yes,instock,no,81,variable,
7468,charlette.black,black ,yes,instock,no,81,product-variant,6317
6318,charlette.red,red ,yes,instock,no,10,product-variant,6317
6319,rover.grey,Рюкзак для ноутбука Rover,yes,instock,no,44,variable,
6867,rover.grey,grey ,yes,instock,no,44,product-variant,6319
6320,rebel-bp.black,Рюкзак для ноутбука Rebel-BP,yes,instock,no,174,variable,
6795,rebel-bp.black,black ,yes,instock,no,174,product-variant,6320
6321,zest.black,Рюкзак для ноутбука Zest,yes,instock,no,41,variable,
6898,zest.black,black ,yes,instock,no,41,product-variant,6321
6322,zest.grey,grey ,yes,instock,no,38,product-variant,6321
6323,zest.blue,blue ,yes,instock,no,20,product-variant,6321
6324,ascend-bp.grey,Рюкзак для ноутбука Ascend-BP,yes,instock,no,113,variable,
6816,ascend-bp.grey,grey ,yes,instock,no,113,product-variant,6324
6325,ascend-mb.grey,Сумка для ноутбука Ascend-MB,yes,instock,no,57,variable,
7436,ascend-mb.grey,grey ,yes,instock,no,57,product-variant,6325
6326,dapp-bp.red,Рюкзак для ноутбука Dapp-BP,yes,instock,no,10,variable,
6881,dapp-bp.red,Blue/Red ,yes,instock,no,10,product-variant,6326
6327,solo-mb.black,Сумка для ноутбука Solo-MB,yes,instock,no,130,variable,
7153,solo-mb.black,black ,yes,instock,no,130,product-variant,6327
6328,zipper-l.black,Чехол для ноутбука Zipper-L,yes,instock,no,61,variable,
7135,zipper-l.black,black ,yes,instock,no,61,product-variant,6328
6289,cactus.black,Автомобильное зарядное устройство Cactus,yes,instock,no,0,variable,
7654,cactus.black,black ,yes,instock,no,0,product-variant,6289
6290,cactus.white,white ,yes,instock,no,6,product-variant,6289
6291,powerbase.black,Зарядная док-станция Powerbase,yes,instock,no,47,variable,
8116,powerbase.black,black ,yes,instock,no,47,product-variant,6291
6292,powerbase.white,white ,yes,instock,no,31,product-variant,6291
6293,pockethub.black,USB-хаб pocketHub,yes,instock,no,8,variable,
7405,pockethub.black,black ,yes,instock,no,8,product-variant,6293
6294,masterhub.black,USB-хаб masterHub,yes,instock,no,20,variable,
7496,masterhub.black,black ,yes,instock,no,20,product-variant,6294
6295,auxkit.black,Комплект кабелей auxKit,yes,instock,no,80,variable,
7389,auxkit.black,black ,yes,instock,no,80,product-variant,6295
6296,lami-2.black,Стилус Lami-2,yes,instock,no,1,variable,
10290,lami-2.black,black ,yes,instock,no,1,product-variant,6296
6297,lami-2.white,white ,yes,instock,no,0,product-variant,6296
6298,techpen.black,Стилус techPen,yes,instock,no,15,variable,
10275,techpen.black,black ,yes,instock,no,15,product-variant,6298
6299,techpen.silver,silver ,yes,instock,no,13,product-variant,6298
6300,rebel-mb.black,Сумка для ноутбука Rebel-MB,yes,instock,no,38,variable,
7488,rebel-mb.black,black ,yes,instock,no,38,product-variant,6300
6301,ascend-hb.grey,Сумка для ноутбука Ascend-HB,yes,instock,no,46,variable,
7602,ascend-hb.grey,grey ,yes,instock,no,46,product-variant,6301
6302,dapp-tb.red,Сумка для ноутбука Dapp-TB,yes,instock,no,2,variable,
7593,dapp-tb.red,Blue/Red ,yes,instock,no,2,product-variant,6302
6303,trench-l.black,Сумка для ноутбука Trench-L,yes,instock,no,0,variable,
7555,trench-l.black,black ,yes,instock,no,0,product-variant,6303
6304,trench-l.grey,grey ,yes,instock,no,109,product-variant,6303
6305,trench-l.brown,brown ,yes,instock,no,0,product-variant,6303
6306,trench-s.black,Сумка для ноутбука/планшета Trench-S,yes,instock,no,32,variable,
7556,trench-s.black,black ,yes,instock,no,32,product-variant,6306
6307,trench-s.grey,grey ,yes,instock,no,30,product-variant,6306
6308,trench-s.brown,brown ,yes,instock,no,2,product-variant,6306
6271,pose-lt.white,Кабель c подставкой Pose-LT Lightning-USB 1.15 м,yes,instock,no,58,variable,
7226,pose-lt.white,white ,yes,instock,no,58,product-variant,6271
7225,pose-lt.black,black ,yes,instock,no,34,product-variant,6271
6272,charghub.black,Мобильный комплект зарядки устройств Charghub,yes,instock,no,46,variable,
7483,charghub.black,black ,yes,instock,no,46,product-variant,6272
6273,unicable-3.black,Кабель uniCable-2 USB-Lightning/30-pin/microUSB 1.2 м,yes,instock,no,0,variable,
7414,unicable-2.black,black ,yes,instock,no,28,product-variant,6273
6274,yank-m.black,Кабель Yank-M,yes,instock,no,1,variable,
7362,yank-m.black,black ,yes,instock,no,1,product-variant,6274
6275,linkmate-u2l.black,Кабель linkMate-U2L,yes,instock,no,56,variable,
7332,linkmate-u2l.black,black ,yes,instock,no,56,product-variant,6275
6276,linkmate-u2l.white,white ,yes,instock,no,43,product-variant,6275
6277,booster-duo.black,Автомобильное зарядное устройство Booster-Duo,yes,instock,no,11,variable,
7702,booster-duo.black,black ,yes,instock,no,11,product-variant,6277
6278,booster-duo.white,white ,yes,instock,no,13,product-variant,6277
6279,prochargelt.black,Автомобильное зарядное устройство proChargeLT,yes,instock,no,14,variable,
7694,prochargelt.black,black ,yes,instock,no,14,product-variant,6279
6281,prochargelt1.black,Автомобильное зарядное устройство proChargeLT1,yes,instock,no,6,variable,
7678,prochargelt1.black,black ,yes,instock,no,6,product-variant,6281
6282,prochargelt1.white,white ,yes,instock,no,2,product-variant,6281
6283,tryx-1.black,Автомобильное зарядное устройство Tryx-1,yes,instock,no,2,variable,
7673,tryx-1.black,black ,yes,instock,no,2,product-variant,6283
6284,vivid.black,Автомобильное зарядное устройство Vivid,yes,instock,no,25,variable,
7661,vivid.black,black ,yes,instock,no,25,product-variant,6284
6285,vivid.red,red ,yes,instock,no,2,product-variant,6284
6286,vivid.blue,blue ,yes,instock,no,0,product-variant,6284
6287,vivid.white,white ,yes,instock,no,82,product-variant,6284
6288,surge-eu2,Сетевое зарядное устройство Surge-EU2,yes,instock,no,106,variable,
8129,surge-eu2,black ,yes,instock,no,106,product-variant,6288
6252,prolink-h2v.white,Переходник ProLink-H2V,yes,instock,no,39,variable,
7146,prolink-h2v.white,white ,yes,instock,no,39,product-variant,6252
6253,prolink-v2h.black,Переходник ProLink-V2H,yes,instock,no,10,variable,
7119,prolink-v2h.black,black ,yes,instock,no,10,product-variant,6253
6254,linkmate-a1.black,Кабель cинхронизации linkMate-A1,yes,instock,no,130,variable,
6255,linkmate-a1.white,white ,yes,instock,no,0,product-variant,6254
6256,linkmate-a1l.black,black ,yes,instock,no,40,product-variant,6254
6258,linkmate-l2.white,linkMate-L2,yes,instock,no,0,variable,
6985,linkmate-l2.white,white ,yes,instock,no,0,product-variant,6258
6984,linkmate-l2.black,black ,yes,instock,no,120,product-variant,6258
6259,linkmate-a3.black,linkMate-A3.black,yes,instock,no,70,variable,
7455,linkmate-a3.black,black ,yes,instock,no,70,product-variant,6259
6260,linkmate-lta.black,Комплект кабелей linkMate-LTA,yes,instock,no,3,variable,
7502,linkmate-lta.black,black ,yes,instock,no,3,product-variant,6260
6261,linkmate-trio.black,Кабель linkMate-Trio USB-Lightning/30-pin/microUSB 1 м,yes,instock,no,1,variable,
7514,linkmate-trio.black,black ,yes,instock,no,1,product-variant,6261
6262,linkmate-trio.white,white ,yes,instock,no,2,product-variant,6261
6263,linkmate-u2.black,Кабель linkMate-U2,yes,instock,no,81,variable,
7317,linkmate-u2.black,black ,yes,instock,no,81,product-variant,6263
6264,linkmate-u2.white,white ,yes,instock,no,108,product-variant,6263
6265,linkmate-u2f.black,Кабель linkMate-U2F,yes,instock,no,24,variable,
7325,linkmate-u2f.black,black ,yes,instock,no,24,product-variant,6265
6266,linkmate-u2f.white,white ,yes,instock,no,57,product-variant,6265
6267,linkmate-st.white,Кабель linkMate-ST,yes,instock,no,19,variable,
7307,linkmate-st.black,black ,yes,instock,no,0,product-variant,6267
7306,linkmate-st.white,white ,yes,instock,no,19,product-variant,6267
6268,pose-m.black,Кабель c подставкой Pose-M,yes,instock,no,18,variable,
7351,pose-m.white,white ,yes,instock,no,53,product-variant,6268
7350,pose-m.black,black ,yes,instock,no,18,product-variant,6268
6269,linkmate-u4.black,Кабель linkMate-U4,yes,instock,no,2,variable,
7341,linkmate-u4.black,black ,yes,instock,no,2,product-variant,6269
6270,linkmate-u4.white,white ,yes,instock,no,17,product-variant,6269
6232,prolink-otg.black,micro-USB хаб proLink.OTG,yes,instock,no,20,variable,
7777,prolink-otg.black,black ,yes,instock,no,20,product-variant,6232
7776,prolink-otg.white,white ,yes,instock,no,0,product-variant,6232
